Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Hyundai Eon [2011-2018] Era + SE,Hyundai,Eon,2013,red,hatchback,48721.00,1st,5,petrol,32,Petrol Engine,814,5-Speed,Manual,55.2,74.5,21.10,BS IV,326000.00
Mahindra Scorpio [2014-2017] S10,Mahindra,Scorpio,2015,blue,suv,41651.00,1st,7,diesel,60,4 cylinder mHawk CRDe diesel engine,2179,5-Speed,Manual,120,280,15.40,BS IV,1127000.00
Hyundai New Santro 1.1 Sportz MT,Hyundai,New Santro 1.1,2019,blue,hatchback,8842.00,1st,5,petrol,35,1.1 L Petrol,1086,5-Speed,Manual,68.07,99.07,20.30,BS IV,565000.00
Volkswagen Ameo [2016-2020] Comfortline 1.2L (P),Volkswagen,Ameo,2016,blue,sedan,64313.00,1st,5,petrol,45,MPI Petrol Engine,1298,5-Speed,Automatic,73.75,110,17.00,BS V,553000.00
Maruti Suzuki S-Cross [2015-2020] Zeta 1.3,Maruti Suzuki,S-Cross,2016,brown,suv,52220.00,1st,5,diesel,48,DDiS 200,1248,5-Speed,Automatic,89,200,23.65,BS V,831000.00
Ford Figo Aspire [2019-2021] Titanium Plus 1.2 Ti-VCT,Ford,Figo Aspire,2019,red,sedan,10370.00,1st,5,petrol,42,Ti-VCT Petrol Engine,1798,5-Speed,Manual,94.93,119,18.50,BS V,776000.00
Honda Amaze [2013-2018] 1.2 S i-VTEC,Honda,Amaze,2016,brown,sedan,60656.00,1st,5,petrol,35,i-VTEC Petrol Engine,1198,5-Speed,Manual,86.7,109,18.00,BS IV,533000.00
Maruti Suzuki Alto 800 Vxi Plus,Maruti Suzuki,Alto 800,2020,red,hatchback,12433.00,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22.05,BS IV,443000.00
Volkswagen Polo [2010-2014] Highline1.2L (P),Volkswagen,Polo,2013,grey,hatchback,53735.00,1st,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Manual,73.9,110,16.47,BS IV,524000.00
Skoda Superb [2014-2016] Elegance 1.8 TSI AT,Skoda,Superb,2014,red,sedan,46103.00,2nd,5,petrol,60,"Turbocharged petrol engine, in-line, liquid cooling system, direct injection, 16V DOHC, transverse in front",1798,7-Speed,Automatic,158,250,13.10,BS III,1299000.00
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,Alto 800,2019,red,hatchback,2174.00,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22.05,BS IV,420000.00
Volkswagen Polo [2010-2014] Comfortline 1.2L (P),Volkswagen,Polo,2012,silver,hatchback,64878.00,1st,5,petrol,45,MPI Petrol Engine,1199,5-Speed,Manual,74,110,16.20,BS IV,450000.00
Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol,Hyundai,Creta,2017,red,suv,76978.00,1st,5,petrol,60,Petrol Dual VTVT,1591,6-Speed,Manual,122,154,15.29,BS IV,1212000.00
Honda Amaze [2018-2021] 1.2 VX i-VTEC,Honda,Amaze,2018,white,sedan,33454.00,1st,5,petrol,35,i-VTEC Petrol Engine,1199,5-Speed,Manual,88.76,110,18.60,BS IV,772000.00
Tata Harrier XZ Dual Tone,Tata,Harrier,2019,white,suv,19589.00,1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Manual,138,350,17.00,BS IV,1699000.00
Maruti Suzuki S-Presso VXI CNG,Maruti Suzuki,S-Presso,2021,silver,hatchback,17101.00,1st,5,petrol+cng,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,31.19,BS IV,612000.00
Maruti Suzuki Ertiga [2012-2015] ZDi,Maruti Suzuki,Ertiga,2015,brown,muv,51844.00,1st,7,diesel,45,DDiS Diesel Engine,1248,5-Speed,Manual,89,200,20.77,BS III,911000.00
Ford EcoSport [2015-2017] Titanium + 1.5L TDCi,Ford,EcoSport,2016,red,suv,91463.00,2nd,5,diesel,52,1.5L DV5 (Diesel),1498,5-Speed,Manual,99,205,22.70,BS IV,707000.00
Hyundai Creta [2015-2018] 1.6 SX Plus,Hyundai,Creta,2017,grey,suv,88895.00,2nd,5,diesel,60,U2 VGT CRDi,1582,6-Speed,Manual,126,265,19.67,BS IV,1098000.00
Chevrolet Beat [2014-2017] LS Petrol,Chevrolet,Beat,2014,green,hatchback,45080.00,1st,5,petrol,35,S-TEC II,1199,5-Speed,Manual,79,108,18.60,BS IV,335000.00
